Name,Team,BYE,Pos,ADP,FP,ESPN
Le'Veon Bell,PIT,7,RB,2,2,1
Todd Gurley,LAR,12,RB,1,1,2
David Johnson,ARI,9,RB,4,4,3
Ezekiel Elliott,DAL,8,RB,3,3,4
Antonio Brown,PIT,7,WR,5,5,5
Saquon Barkley,NYG,9,RB,7,8,6
Alvin Kamara,NO,6,RB,6,6,7
Julio Jones,ATL,8,WR,14,13,8
Odell Beckham Jr.,NYG,9,WR,12,9,9
DeAndre Hopkins,HOU,10,WR,9,7,10
Kareem Hunt,KC,12,RB,10,12,11
Leonard Fournette,JAC,9,RB,8,11,12
Dalvin Cook,MIN,10,RB,13,15,13
Melvin Gordon,LAC,8,RB,11,10,14
Keenan Allen,LAC,8,WR,18,16,15
Michael Thomas,NO,6,WR,16,14,16
Devonta Freeman,ATL,8,RB,17,19,17
A.J. Green,CIN,9,WR,20,17,18
Christian McCaffrey,CAR,4,RB,15,22,19
Rob Gronkowski,NE,11,TE,21,21,20
Davante Adams,GB,7,WR,19,18,21
Mike Evans,TB,5,WR,24,23,22
LeSean McCoy,BUF,11,RB,26,32,23
T.Y. Hilton,IND,9,WR,30,25,24
Adam Thielen,MIN,10,WR,32,30,25
Stefon Diggs,MIN,10,WR,31,29,26
Tyreek Hill,KC,12,WR,28,31,27
Larry Fitzgerald,ARI,9,WR,44,35,28
Travis Kelce,KC,12,TE,29,28,29
Zach Ertz,PHI,9,TE,38,39,30
Allen Robinson,CHI,5,WR,50,41,31
Doug Baldwin,SEA,7,WR,35,27,32
Amari Cooper,OAK,7,WR,33,34,33
Josh Gordon,CLE,11,WR,53,49,34
Marvin Jones,DET,6,WR,55,46,35
Jordan Howard,CHI,5,RB,22,20,36
Jerick McKinnon,SF,11,RB,27,26,37
Joe Mixon,CIN,9,RB,23,24,38
Demaryius Thomas,DEN,10,WR,46,40,39
Alshon Jeffery,PHI,9,WR,57,54,40
Brandin Cooks,LAR,12,WR,43,48,41
Golden Tate,DET,6,WR,54,47,42
Kenyan Drake,MIA,11,RB,39,37,43
Derrick Henry,TEN,8,RB,36,38,44
Alex Collins,BAL,10,RB,34,33,45
Jay Ajayi,PHI,9,RB,37,36,46
Royce Freeman,DEN,10,RB,48,45,47
Ronald Jones II,TB,5,RB,63,90,48
Marshawn Lynch,OAK,7,RB,65,53,49
Lamar Miller,HOU,10,RB,45,42,50
Jarvis Landry,CLE,11,WR,42,50,51
JuJu Smith-Schuster,PIT,7,WR,41,44,52
Chris Hogan,NE,11,WR,61,55,53
Emmanuel Sanders,DEN,10,WR,92,70,54
Dion Lewis,TEN,8,RB,58,52,55
Aaron Rodgers,GB,7,QB,25,43,56
Tom Brady,NE,11,QB,47,57,57
Mark Ingram,NO,6,RB,52,51,58
Isaiah Crowell,NYJ,11,RB,87,84,59
Rex Burkhead,NE,11,RB,74,65,60
Chris Carson,SEA,7,RB,99,94,61
Corey Davis,TEN,8,WR,70,60,62
Sammy Watkins,KC,12,WR,76,63,63
Devin Funchess,CAR,4,WR,84,78,64
Robert Woods,LAR,12,WR,85,77,65
Cam Newton,CAR,4,QB,56,59,66
Carson Wentz,PHI,9,QB,66,83,67
Russell Wilson,SEA,7,QB,49,56,68
Deshaun Watson,HOU,10,QB,40,64,69
Robby Anderson,NYJ,11,WR,98,74,70
Michael Crabtree,BAL,10,WR,71,62,71
Marquise Goodwin,SF,11,WR,73,68,72
Cooper Kupp,LAR,12,WR,91,82,73
Will Fuller,HOU,10,WR,75,86,74
Randall Cobb,GB,7,WR,97,89,75
Kelvin Benjamin,BUF,11,WR,112,105,76
Greg Olsen,CAR,4,TE,60,58,77
Delanie Walker,TEN,8,TE,78,73,78
Evan Engram,NYG,9,TE,62,69,79
Duke Johnson,CLE,11,RB,102,104,80
Kenny Stills,MIA,11,WR,124,96,81
Josh Doctson,WAS,4,WR,150,125,82
Kerryon Johnson,DET,6,RB,67,67,83
Jimmy Graham,GB,7,TE,51,66,84
Rashaad Penny,SEA,7,RB,59,79,85
Tevin Coleman,ATL,8,RB,69,61,86
Jamaal Williams,GB,7,RB,81,87,87
Pierre Garcon,SF,11,WR,95,80,88
Julian Edelman,NE,11,WR,79,98,89
Jordan Reed,WAS,4,TE,90,100,90
Sterling Shepard,NYG,9,WR,114,108,91
Jordy Nelson,OAK,7,WR,86,102,92
Jamison Crowder,WAS,4,WR,101,81,93
Chris Thompson,WAS,4,RB,88,95,94
Carlos Hyde,CLE,11,RB,72,75,95
Sony Michel,NE,11,RB,68,72,96
Marlon Mack,IND,9,RB,89,93,97
C.J. Anderson,CAR,4,RB,109,101,98
Kyle Rudolph,MIN,10,TE,77,76,99
Ty Montgomery,GB,7,RB,121,127,100
Marqise Lee,JAC,9,WR,138,113,101
Kenny Golladay,DET,6,WR,142,124,102
Devante Parker,MIA,11,WR,111,109,103
Allen Hurns,DAL,8,WR,117,116,104
Nelson Agholor,PHI,9,WR,110,97,105
Rishard Matthews,TEN,8,WR,164,122,106
Nick Chubb,CLE,11,RB,105,126,107
Tarik Cohen,CHI,5,RB,83,106,108
Jordan Wilkins,IND,9,RB,163,172,109
Trey Burton,CHI,5,TE,94,92,110
David Njoku,CLE,11,TE,113,111,111
Jeremy Hill,NE,11,RB,190,236,112
Giovani Bernard,CIN,9,RB,147,131,113
James White,NE,11,RB,135,136,114
Tyler Lockett,SEA,7,WR,159,132,115
Mohamed Sanu,ATL,8,WR,166,156,116
Andrew Luck,IND,9,QB,82,88,117
Ben Roethlisberger,PIT,7,QB,100,99,118
Kirk Cousins,MIN,10,QB,80,85,119
Jack Doyle,IND,9,TE,119,112,120
Cameron Meredith,NO,6,WR,141,134,121
Paul Richardson,WAS,4,WR,188,155,122
DeSean Jackson,TB,5,WR,189,141,123
D.J. Moore,CAR,4,WR,118,123,124
Michael Gallup,DAL,8,WR,143,151,125
Chris Godwin,TB,5,WR,183,153,126
Matthew Stafford,DET,6,QB,96,91,127
Drew Brees,NO,6,QB,64,71,128
Calvin Ridley,ATL,8,WR,115,143,129
John Ross,CIN,9,WR,207,186,130
Danny Amendola,MIA,11,WR,252,205,131
Dez Bryant,FA,,WR,161,166,132
Charles Clay,BUF,11,TE,224,149,133
Matt Ryan,ATL,8,QB,103,110,134
Patrick Mahomes,KC,12,QB,116,115,135
Tyler Eifert,CIN,9,TE,136,137,136
Philip Rivers,LAC,8,QB,106,103,137
Jimmy Garoppolo,SF,11,QB,93,107,138
Alex Smith,WAS,4,QB,129,121,139
Marcus Mariota,TEN,8,QB,128,119,140
John Brown,BAL,10,WR,193,160,141
Anthony Miller,CHI,5,WR,162,146,142
James Washington,PIT,7,WR,197,211,143
Courtland Sutton,DEN,10,WR,192,215,144
Donte Moncrief,JAC,9,WR,236,203,145
Mike Williams,LAC,8,WR,130,135,146
Devontae Booker,DEN,10,RB,123,130,147
Latavius Murray,MIN,10,RB,139,140,148
Theo Riddick,DET,6,RB,167,159,149
Nyheim Hines,IND,9,RB,149,173,150
Robert Kelley,WAS,4,RB,146,174,151
Samaje Perine,WAS,4,RB,160,165,152
Doug Martin,OAK,7,RB,156,168,153
Matt Breida,SF,11,RB,154,148,154
Corey Clement,PHI,9,RB,132,139,155
George Kittle,SF,11,TE,127,118,157
Mike Wallace,PHI,9,WR,273,191,158
Ryan Grant,IND,9,WR,289,196,159
Keelan Cole,JAC,9,WR,201,182,160
Aaron Jones,GB,7,RB,104,114,161
Dak Prescott,DAL,8,QB,137,128,162
Jared Goff,LAR,12,QB,108,120,163
Austin Seferian-Jenkins,JAC,9,TE,176,177,164
Vance McDonald,PIT,7,TE,247,188,166
Peyton Barber,TB,5,RB,134,117,167
Tyrod Taylor,CLE,11,QB,211,192,168
Quincy Enunwa,NYJ,11,WR,277,193,169
Greg Zuerlein,LAR,12,K,126,198,175
Stephen Gostkowski,NE,11,K,122,187,176
Justin Tucker,BAL,10,K,145,194,177
Matt Bryant,ATL,8,K,196,206,184
Wil Lutz,NO,6,K,171,219,185
Chris Boswell,PIT,7,K,202,233,186
Jake Elliott,PHI,9,K,173,224,188
Matt Prater,DET,6,K,226,225,189
Harrison Butker,KC,12,K,172,237,190
LeGarrette Blount,DET,6,RB,148,162,193
Javorius Allen,BAL,10,RB,225,209,194
Bilal Powell,NYJ,11,RB,155,129,195
Cameron Brate,TB,5,TE,184,142,196
Benjamin Watson,NO,6,TE,210,185,197
Austin Hooper,ATL,8,TE,214,190,198
Kenneth Dixon,BAL,10,RB,217,218,199
Darren Sproles,PHI,9,RB,268,238,200
D'Onta Foreman,HOU,10,RB,140,164,202
Chris Ivory,BUF,11,RB,213,195,203
Austin Ekeler,LAC,8,RB,168,201,204
Spencer Ware,KC,12,RB,209,213,205
Frank Gore,MIA,11,RB,206,181,206
Jonathan Stewart,NYG,9,RB,272,242,208
O.J. Howard,TB,5,TE,153,133,210
Jared Cook,OAK,7,TE,186,161,211
Mitch Trubisky,CHI,5,QB,169,154,212
Christian Kirk,ARI,9,WR,195,197,213
Cole Beasley,DAL,8,WR,259,223,214
Martavis Bryant,OAK,7,WR,165,170,215
Ted Ginn,NO,6,WR,179,167,216
Taywan Taylor,TEN,8,WR,223,202,218
Andy Dalton,CIN,9,QB,212,175,219
Ryan Tannehill,MIA,11,QB,222,204,220
Dan Bailey,DAL,8,K,205,228,223
Albert Wilson,MIA,11,WR,294,229,225
Terrance Williams,DAL,8,WR,263,234,226
Tyrell Williams,LAC,8,WR,181,145,228
Brandon Marshall,SEA,7,WR,270,235,229
Corey Coleman,BUF,11,WR,285,210,233
Jermaine Kearse,NYJ,11,WR,291,220,234
T.J. Yeldon,JAC,9,RB,218,222,236
Corey Grant,JAC,9,RB,306,241,238
Eli Manning,NYG,9,QB,174,157,243
Derek Carr,OAK,7,QB,133,144,244
Jameis Winston,TB,5,QB,158,184,245
Eric Ebron,IND,9,TE,194,150,246
Mike Gesicki,MIA,11,TE,200,199,247
Ricky Seals-Jones,ARI,9,TE,216,179,248
Geronimo Allison,GB,7,WR,198,189,251
Mason Crosby,GB,7,K,242,239,256
Hayden Hurst,BAL,10,TE,175,207,257
Case Keenum,DEN,10,QB,187,176,266
Blake Bortles,JAC,9,QB,182,152,267
Joe Flacco,BAL,10,QB,230,232,268
Kalen Ballage,MIA,11,RB,243,227,277
Dede Westbrook,JAC,9,WR,170,180,295
Adrian Peterson,WAS,4,RB,203,208,
Dante Pettis,SF,11,WR,260,226,
