Name,Team,BYE,Pos,ADP,FP,ESPN,BORIS
Le'Veon Bell,PIT,7,RB,2,2,1,2
Todd Gurley,LAR,12,RB,1,1,2,1
David Johnson,ARI,9,RB,4,4,3,4
Ezekiel Elliott,DAL,8,RB,3,3,4,3
Antonio Brown,PIT,7,WR,5,5,5,5
Saquon Barkley,NYG,9,RB,7,8,6,7
Alvin Kamara,NO,6,RB,6,6,7,6
Julio Jones,ATL,8,WR,14,13,8,11
Odell Beckham Jr.,NYG,9,WR,12,9,9,12
DeAndre Hopkins,HOU,10,WR,9,7,10,8
Kareem Hunt,KC,12,RB,10,12,11,13
Leonard Fournette,JAC,9,RB,8,11,12,9
Dalvin Cook,MIN,10,RB,13,15,13,15
Melvin Gordon,LAC,8,RB,11,10,14,10
Keenan Allen,LAC,8,WR,18,16,15,17
Michael Thomas,NO,6,WR,16,14,16,14
Devonta Freeman,ATL,8,RB,17,19,17,16
A.J. Green,CIN,9,WR,20,17,18,18
Christian McCaffrey,CAR,4,RB,15,22,19,21
Rob Gronkowski,NE,11,TE,21,21,20,20
Davante Adams,GB,7,WR,19,18,21,19
Mike Evans,TB,5,WR,24,23,22,27
LeSean McCoy,BUF,11,RB,26,32,23,32
T.Y. Hilton,IND,9,WR,30,25,24,22
Adam Thielen,MIN,10,WR,32,30,25,25
Stefon Diggs,MIN,10,WR,31,29,26,29
Tyreek Hill,KC,12,WR,28,31,27,30
Larry Fitzgerald,ARI,9,WR,44,35,28,38
Travis Kelce,KC,12,TE,29,28,29,33
Zach Ertz,PHI,9,TE,38,39,30,46
Allen Robinson,CHI,5,WR,50,41,31,37
Doug Baldwin,SEA,7,WR,35,27,32,26
Amari Cooper,OAK,7,WR,33,34,33,34
Josh Gordon,CLE,11,WR,53,49,34,47
Marvin Jones,DET,6,WR,55,46,35,40
Jordan Howard,CHI,5,RB,22,20,36,23
Jerick McKinnon,SF,11,RB,27,26,37,24
Joe Mixon,CIN,9,RB,23,24,38,28
Demaryius Thomas,DEN,10,WR,46,40,39,43
Alshon Jeffery,PHI,9,WR,57,54,40,52
Brandin Cooks,LAR,12,WR,43,48,41,49
Golden Tate,DET,6,WR,54,47,42,48
Kenyan Drake,MIA,11,RB,39,37,43,36
Derrick Henry,TEN,8,RB,36,38,44,42
Alex Collins,BAL,10,RB,34,33,45,31
Jay Ajayi,PHI,9,RB,37,36,46,39
Royce Freeman,DEN,10,RB,48,45,47,53
Ronald Jones II,TB,5,RB,63,90,48,90
Marshawn Lynch,OAK,7,RB,65,53,49,54
Lamar Miller,HOU,10,RB,45,42,50,44
Jarvis Landry,CLE,11,WR,42,50,51,60
JuJu Smith-Schuster,PIT,7,WR,41,44,52,41
Chris Hogan,NE,11,WR,61,55,53,45
Emmanuel Sanders,DEN,10,WR,92,70,54,61
Dion Lewis,TEN,8,RB,58,52,55,64
Aaron Rodgers,GB,7,QB,25,43,56,35
Tom Brady,NE,11,QB,47,57,57,51
Mark Ingram,NO,6,RB,52,51,58,55
Isaiah Crowell,NYJ,11,RB,87,84,59,88
Rex Burkhead,NE,11,RB,74,65,60,74
Chris Carson,SEA,7,RB,99,94,61,109
Corey Davis,TEN,8,WR,70,60,62,58
Sammy Watkins,KC,12,WR,76,63,63,63
Devin Funchess,CAR,4,WR,84,78,64,68
Robert Woods,LAR,12,WR,85,77,65,67
Cam Newton,CAR,4,QB,56,59,66,56
Carson Wentz,PHI,9,QB,66,83,67,72
Russell Wilson,SEA,7,QB,49,56,68,50
Deshaun Watson,HOU,10,QB,40,64,69,57
Robby Anderson,NYJ,11,WR,98,74,70,71
Michael Crabtree,BAL,10,WR,71,62,71,59
Marquise Goodwin,SF,11,WR,73,68,72,66
Cooper Kupp,LAR,12,WR,91,82,73,78
Will Fuller,HOU,10,WR,75,86,74,87
